country code,postal code,place,state,statecode,province_or_county,province_or_countycode,community,communitycode,latitude,longitude,accuracy,Country,Continent
AR,1602,FLORIDA,Buenos Aires,B,,,,,-34.5167,-58.5,4,Argentina,South America
AR,1602,PUENTE SAAVEDRA,Buenos Aires,B,,,,,-34.5167,-58.5,3,Argentina,South America
AR,1602,DOCTOR ANTONIO CETRANGOLO (PARADA FCGM),Buenos Aires,B,,,,,-34.5167,-58.5,3,Argentina,South America
AR,1602,ARISTOBULO DEL VALLE,Buenos Aires,B,,,,,-34.5167,-58.5,3,Argentina,South America
AR,1602,FLORIDA ESTAFETA No.1,Buenos Aires,B,,,,,-34.5167,-58.5,3,Argentina,South America
"AR,1602,""JUAN B. JUSTO (ESTACION FCGM. FLORIDA, PDO. V. LOPEZ)"",Buenos Aires,B,,,,,-34.5167,-58.5,3,Argentina,South America"
AR,1605,MUNRO,Buenos Aires,B,,,,,-34.5333,-58.55,4,Argentina,South America
AR,1605,MUNRO ESTAFETA No.2,Buenos Aires,B,,,,,-34.5333,-58.55,3,Argentina,South America
AR,1605,CARAPACHAY,Buenos Aires,B,,,,,-34.5333,-58.55,3,Argentina,South America
AR,1607,BARRIO ARCA,Buenos Aires,B,,,,,-34.5167,-58.5389,1,Argentina,South America
AR,1607,BARRIO OBRERO FERROVIARIO,Buenos Aires,B,,,,,-34.5167,-58.5389,1,Argentina,South America
AR,1607,JOSE MARTI,Buenos Aires,B,,,,,-34.5167,-58.5389,1,Argentina,South America
AR,1609,BOULOGNE,Buenos Aires,B,,,,,-34.5,-58.5667,4,Argentina,South America
AR,1609,BOULOGNE ESTAFETA No.1,Buenos Aires,B,,,,,-34.5,-58.5667,3,Argentina,South America
AR,1609,BOULOGNE ESTAFETA No.3,Buenos Aires,B,,,,,-34.5,-58.5667,3,Argentina,South America
AR,1609,BOULOGNE SUR MER,Buenos Aires,B,,,,,-34.5,-58.5667,3,Argentina,South America
AR,1611,DON TORCUATO,Buenos Aires,B,,,,,-34.5,-58.6333,4,Argentina,South America
